,place_id,place_name,place_address,place_lat,place_long,phone_number,website,url,country,adm_lvl_1,adm_lvl_2
0,ChIJ5QZKjWAoHBURfkKFO17M5h0,Red Cross,Lebanon,33.0754808,35.3699195,+961 7 470 140,http://www.redcross.org.lb/,https://maps.google.com/?cid=2154634176840942206,Lebanon,Nabatiyeh Governorate,Bint Jbeil
8,ChIJ5UBCc_V9HhURIWa1H4V0MZ0,Lebanese Red Cross,"El Kouds, Sour, Lebanon",33.2588052,35.2136351,+961 7 742 265,http://www.redcross.org.lb/,https://maps.google.com/?cid=11326962652924962337,Lebanon,South Governorate,Sour
0,ChIJSYPgnKyUHhURjLLFO7eGBrY,Lebanese Red Cross - Nabatieh,"Nabatieh, Lebanon",33.3870274,35.4834926,+961 7 765 505,http://www.redcross.org.lb/,https://maps.google.com/?cid=13116319086303097484,Lebanon,Nabatiyeh Governorate,Nabatiyeh
1,ChIJnWmy66CLHhURkYdSZXkEYHs,Lebanese Red Cross Ansariyeh,"Ansariyeh, Lebanon",33.4157964,35.2768304,+961 7 740 070,http://www.redcross.org.lb/,https://maps.google.com/?cid=8890110583866820497,Lebanon,South Governorate,Saida
2,ChIJY8x5qcIXHxURVRX1VYQcGUo,International Federation of Red Cross and Red Crescent Societies (IFRC),"Platinum 776 building، Street 20-2002 New Martakla، Hazmieh، Beirut, Lebanon",33.854615,35.554568,+961 5 428 444,http://www.ifrc.org/MENA,https://maps.google.com/?cid=5339330187927819605,Lebanon,Jabal Lubnan,Baabda
5,ChIJexDCjCAgHxURZzpFfxPao14,Red Cross - Deir Al Qamar - Emergency,Lebanon,33.6958853,35.553114,+961 5 505 803,http://www.redcross.org.lb/,https://maps.google.com/?cid=6819534038043540071,Lebanon,Mount Lebanon Governorate,Chouf
13,ChIJn7xyNQ3AHhURctAcBP4Pun4,Marjeon Red Cross,Lebanon,33.3633534,35.5876545,+961 7 831 140,http://www.redcross.org.lb/,https://maps.google.com/?cid=9131628778112209010,Lebanon,Nabatiyeh Governorate,Marjaayoun
0,ChIJEfDFzp7GHhUR1W7cA9jf3ak,Lebanese Red Cross - Hasbaiyya,"Hasbaiyya, Lebanon",33.3986343,35.678856,+961 7 551 140,http://www.redcross.org.lb/,https://maps.google.com/?cid=12240185481133584085,Lebanon,Nabatiyeh Governorate,Hasbaiyya
3,ChIJx4f08nIgHxURqqbf_xcNjTc,Lebanese Red Cross - Samqaniyeh,"Samqaniyeh, Lebanon",33.6755537,35.5898167,unknown,http://www.redcross.org.lb/,https://maps.google.com/?cid=4002870040530495146,Lebanon,Mount Lebanon Governorate,Chouf
4,ChIJbwadF4XIHhUR7S50LnTlWBg,الصليب الأحمر اللبناني شبعا,"Khalwat, Lebanon",33.3490302,35.7496119,+961 7 565 140,http://www.redcross.org.lb/,https://maps.google.com/?cid=1754404342019141357,Lebanon,Nabatiyeh Governorate,Hasbaiyya
2,ChIJOxGWFqk9HxURNtHK0JTWL14,Red Cross First Aid Team,Lebanon,33.861563,35.602141,+961 4 870 712,http://www.redcross.org.lb/,https://maps.google.com/?cid=6786879098117083446,Lebanon,Mount Lebanon Governorate,Matn
3,ChIJ7-nHBCsjHxURbHtOvn3e83w,Red Cross - Aley - Emergency,"Aalay, Lebanon",33.8053599,35.5949638,+961 5 556 161,http://www.redcross.org.lb/,https://maps.google.com/?cid=9003784711688846188,Lebanon,Mount Lebanon Governorate,Aalay
5,ChIJIR2POSIYHxUR7aOrHo0CINA,Lebanese Red Cross,"Hazmieh, Beirut, Lebanon",33.855564,35.538639,+961 5 955 992,http://www.redcross.org.lb/,https://maps.google.com/?cid=14996989564271961069,Lebanon,محافظة جبل لبنان,بعبدا
6,ChIJpekvSN8WHxURGoaFS_muVlw,Lebanese Red Cross,"Spears, Bayrut, Lebanon",33.894994,35.494964,+961 1 372 802,http://www.redcross.org.lb/,https://maps.google.com/?cid=6653697885223618074,Lebanon,Beirut Governorate,Beirut
7,ChIJK1JRn9QQHxURA5XmYT8vqzA,ICRC,"Labban, Bayrut, Lebanon",33.89518109999999,35.4767382,unknown,unknown,https://maps.google.com/?cid=3506948684110009603,Lebanon,Beirut Governorate,Beirut
1,ChIJM6PF6aBcHxURiFCLOOnySZ8,Red Cross Jbeil,"red cross, Byblos, Lebanon",34.1302096,35.6514549,+961 9 542 205,http://www.redcross.org.lb/,https://maps.google.com/?cid=11477972208820375688,Lebanon,محافظة جبل لبنان,جبيل
2,ChIJp-7qIsdAHxUR6qW5UlY87kk,Lebanese Red Cross - Jounieh,"Haret Sakher, Lebanon",33.9849907,35.638717,+961 9 832 260,http://www.redcross.org.lb/,https://maps.google.com/?cid=5327261750678627818,Lebanon,Mount Lebanon Governorate,Kesrouane
4,ChIJ2ahM_tk-HxURA_nQ8I2nQvY,Lebanese Red Cross - Kornet Chehwan Center,Lebanon,33.9182241,35.64228860000001,+961 4 925 444,http://www.redcross.org.lb/,https://maps.google.com/?cid=17744929709865629955,Lebanon,Mount Lebanon Governorate,Matn
17,ChIJU15hVd0XHxURdYmlWATPib8,IFRC Office. الاتحاد الدولي لجمعيات الصليب الأحمر والهلال الاحمر,"Kanater Zbeyde Road Street 20-2002 New Martakla Hazmieh, Baabda, Lebanon",33.8543512,35.5549483,unknown,unknown,https://maps.google.com/?cid=13801790150627658101,Lebanon,محافظة جبل لبنان,بعبدا
7,ChIJ0w8ojwkXHxURao2Y0abbdn8,Lebanese Red Cross - Furn El Chebbek,"S 4th St, Lebanon",33.871065,35.520116,+961 1 287 111,http://www.redcross.org.lb/,https://maps.google.com/?cid=9184769999596195178,Lebanon,محافظة جبل لبنان,بعبدا
19,ChIJz-tsOiIYHxURazJ7rpgOMj8,Lebanese Red Cross,"Baabda, Lebanon",33.8334326,35.5419019,+961 5 925 009,http://redcrossbaabda.com/,https://maps.google.com/?cid=4553718222150120043,Lebanon,Mount Lebanon Governorate,Baabda
0,ChIJt07tsMZIHxURDyehdyNbQxQ,Red Cross,"Mazraat Kfar Dibiane, Lebanon",33.9839942,35.7670828,unknown,http://www.redcross.org.lb/,https://maps.google.com/?cid=1460110912087205647,Lebanon,Mount Lebanon Governorate,Kesrouane
15,ChIJqybtg3sxHxUREaRmJ4aF2wo,Red Cross - Qabb Elias - Emergency,"Qob Elias, Lebanon",33.7924838,35.8224068,+961 8 500 455,unknown,https://maps.google.com/?cid=782365771512062993,Lebanon,Beqaa Governorate,Zahlé
5,ChIJhcnNJMOjGBURHAjTPH3SF7U,Lebanese Red Cross - Baalbek,Lebanon,33.9966214,36.2013524,+961 8 374 672,http://www.redcross.org.lb/,https://maps.google.com/?cid=13049129880662509596,Lebanon,Beqaa Governorate,Baalbek
11,ChIJ9Ween3UEIhURAf8llGa6Tag,Red Cross -Bcharre,"Bsharri, Lebanon",34.2509199,36.0036138,+961 6 671 621,http://www.redcross.org.lb/,https://maps.google.com/?cid=12127554321313562369,Lebanon,North Governorate,Bcharre
5,ChIJH9RKQCU1HxUR0h1t9Vk8NKk,Lebanese Red Cross,"Houch El Zaraani, Lebanon",33.843601,35.9026932,+961 8 800 735,http://www.redcross.org.lb/,https://maps.google.com/?cid=12192436448266100178,Lebanon,Beqaa Governorate,Zahlé
1,ChIJ3UBIrDb2IRURkPzimxlf3Ds,Lebanese Red Cross - Zgharta,Lebanon,34.3858235,35.898613,+961 6 664 003,http://www.redcross.org.lb/,https://maps.google.com/?cid=4313427106708257936,Lebanon,North Governorate,Zgharta
2,ChIJE33bDav2IRURfvAwt_0Ol6Q,"Red Cross Blood Bank, Chrikh Nadim El Jisr","Tripoli, Lebanon",34.4389764,35.8301479,unknown,http://www.redcross.org.lb/,https://maps.google.com/?cid=11859964626566443134,Lebanon,North Governorate,Tripoli
5,ChIJ6TZp-6r2IRURJwcDe4-VIZ8,Red Cross - Tripoli - Emergency,"Riad El Solh, Tarablus, Lebanon",34.4402675,35.8301457,+961 6 610 026,http://redcross.org.lb/,https://maps.google.com/?cid=11466610569738651431,Lebanon,North Governorate,Qada'a Tarablus
0,ChIJsUU4Eqr2IRURsljjp-n4tXI,Red Cross Blood Bank,"Kheir Eddine Adra, Tarablus, Lebanon",34.4389481,35.8301091,+961 6 435 276,http://redcross.org.lb/,https://maps.google.com/?cid=8265786373536176306,Lebanon,North Governorate,Qada'a Tarablus
11,ChIJAYslsLpYHxURgzK1UnuRaTk,Lebanese Red Cross - Batroun,"Batroun, Lebanon",34.2550497,35.66492590000001,+961 6 642 502,http://www.redcross.org.lb/,https://maps.google.com/?cid=4136997691571122819,Lebanon,North Governorate,Batroun
3,ChIJa-2w2gI9IhURAic-ivlNEfE,Lebanese Red Cross - Hrar 508,"Hrar, Lebanon",34.4573429,36.1226825,+961 6 865 508,http://www.redcross.org.lb/,https://maps.google.com/?cid=17370750971906238210,Lebanon,North Governorate,Aakkar
7,ChIJyagvZMFJIhURUEhc_0r7t9o,Lebanese Red Cross - Kobayat,"Qoubaiyat, Lebanon",34.5756293,36.27982739999999,+961 6 350 900,http://www.redcross.org.lb/,https://maps.google.com/?cid=15760341720536729680,Lebanon,North Governorate,Aakkar
