"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,135,"MWI","Malawi",1,"Balaka",1,"Balaka Town","Town","Town",NA,NA
2,135,"MWI","Malawi",1,"Balaka",2,"TA Kalembo","Traditional Authority","Traditional Authority",NA,NA
3,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala","Traditional Authority","Traditional Authority",NA,NA
4,135,"MWI","Malawi",2,"Blantyre",4,"Blantyre City","City","City",NA,NA
5,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru","Traditional Authority","Traditional Authority",NA,NA
6,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni","Traditional Authority","Traditional Authority",NA,NA
7,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja","Traditional Authority","Traditional Authority",NA,NA
8,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe","Traditional Authority","Traditional Authority",NA,NA
9,135,"MWI","Malawi",2,"Blantyre",9,"TA Lundu","Traditional Authority","Traditional Authority",NA,NA
10,135,"MWI","Malawi",2,"Blantyre",10,"TA Machinjili","Traditional Authority","Traditional Authority",NA,NA
11,135,"MWI","Malawi",2,"Blantyre",11,"TA Makata","Traditional Authority","Traditional Authority",NA,NA
12,135,"MWI","Malawi",2,"Blantyre",12,"TA Somba","Traditional Authority","Traditional Authority",NA,NA
13,135,"MWI","Malawi",3,"Chikwawa",13,"Chikwawa Boma","Boma","Headquarter",NA,NA
14,135,"MWI","Malawi",3,"Chikwawa",14,"Lengwe National Park","National Park","National Park",NA,NA
15,135,"MWI","Malawi",3,"Chikwawa",15,"Majete Game Reserve - Chikwawa","Reserve","Reserve",NA,NA
16,135,"MWI","Malawi",3,"Chikwawa",16,"Ngabu Urban","Urban","Urban",NA,NA
17,135,"MWI","Malawi",3,"Chikwawa",17,"TA Chapananga","Traditional Authority","Traditional Authority",NA,NA
18,135,"MWI","Malawi",3,"Chikwawa",18,"TA Kasisi","Traditional Authority","Traditional Authority",NA,NA
19,135,"MWI","Malawi",3,"Chikwawa",19,"TA Katunga","Traditional Authority","Traditional Authority",NA,NA
20,135,"MWI","Malawi",3,"Chikwawa",20,"TA Lundu","Traditional Authority","Traditional Authority",NA,NA
21,135,"MWI","Malawi",3,"Chikwawa",21,"TA Makhwira","Traditional Authority","Traditional Authority",NA,NA
22,135,"MWI","Malawi",3,"Chikwawa",22,"TA Maseya","Traditional Authority","Traditional Authority",NA,NA
23,135,"MWI","Malawi",3,"Chikwawa",23,"TA Ngabu","Traditional Authority","Traditional Authority",NA,NA
24,135,"MWI","Malawi",4,"Chiradzulu",24,"Chiradzulu Boma","Boma","Headquarter",NA,NA
25,135,"MWI","Malawi",4,"Chiradzulu",25,"TA Chitera","Traditional Authority","Traditional Authority",NA,NA
26,135,"MWI","Malawi",4,"Chiradzulu",26,"TA Kadewere","Traditional Authority","Traditional Authority",NA,NA
27,135,"MWI","Malawi",4,"Chiradzulu",27,"TA Likoswe","Traditional Authority","Traditional Authority",NA,NA
28,135,"MWI","Malawi",4,"Chiradzulu",28,"TA Mpama","Traditional Authority","Traditional Authority",NA,NA
29,135,"MWI","Malawi",4,"Chiradzulu",29,"TA Nchema","Traditional Authority","Traditional Authority",NA,NA
30,135,"MWI","Malawi",4,"Chiradzulu",30,"TA Nkalo","Traditional Authority","Traditional Authority",NA,NA
31,135,"MWI","Malawi",5,"Chitipa",31,"Chitipa Boma","Boma","Headquarter",NA,NA
32,135,"MWI","Malawi",5,"Chitipa",32,"Nyika N.P. - Chitipa","National Park","National Park",NA,NA
33,135,"MWI","Malawi",5,"Chitipa",33,"TA Kameme","Traditional Authority","Traditional Authority",NA,NA
34,135,"MWI","Malawi",5,"Chitipa",34,"TA Mwabulambya","Traditional Authority","Traditional Authority",NA,NA
35,135,"MWI","Malawi",5,"Chitipa",35,"TA Mwenemisuku","Traditional Authority","Traditional Authority",NA,NA
36,135,"MWI","Malawi",5,"Chitipa",36,"TA Mwenewenya","Traditional Authority","Traditional Authority",NA,NA
37,135,"MWI","Malawi",5,"Chitipa",37,"TA Nthalire","Traditional Authority","Traditional Authority",NA,NA
38,135,"MWI","Malawi",6,"Dedza",38,"Dedza Boma","Boma","Headquarter",NA,NA
39,135,"MWI","Malawi",6,"Dedza",39,"Lake Malawi","Water body","Water body",NA,NA
40,135,"MWI","Malawi",6,"Dedza",40,"SC Chauma","Sub-chief","Sub-chief",NA,NA
41,135,"MWI","Malawi",6,"Dedza",41,"SC Chilikumwendo","Sub-chief","Sub-chief",NA,NA
42,135,"MWI","Malawi",6,"Dedza",42,"SC Kamenya Gwaza","Sub-chief","Sub-chief",NA,NA
43,135,"MWI","Malawi",6,"Dedza",43,"TA Kachindamoto","Traditional Authority","Traditional Authority",NA,NA
44,135,"MWI","Malawi",6,"Dedza",44,"TA Kaphuka","Traditional Authority","Traditional Authority",NA,NA
45,135,"MWI","Malawi",6,"Dedza",45,"TA Kasumbu","Traditional Authority","Traditional Authority",NA,NA
46,135,"MWI","Malawi",6,"Dedza",46,"TA Pemba","Traditional Authority","Traditional Authority",NA,NA
47,135,"MWI","Malawi",6,"Dedza",47,"TA Tambala","Traditional Authority","Traditional Authority",NA,NA
48,135,"MWI","Malawi",7,"Dowa",48,"Dowa Boma","Boma","Headquarter",NA,NA
49,135,"MWI","Malawi",7,"Dowa",49,"Mponela Urban","Urban","Urban",NA,NA
50,135,"MWI","Malawi",7,"Dowa",50,"SC Chakhaza","Sub-chief","Sub-chief",NA,NA
51,135,"MWI","Malawi",7,"Dowa",51,"SC Kayembe","Sub-chief","Sub-chief",NA,NA
52,135,"MWI","Malawi",7,"Dowa",52,"SC Mkukula","Sub-chief","Sub-chief",NA,NA
53,135,"MWI","Malawi",7,"Dowa",53,"SC Mponela","Sub-chief","Sub-chief",NA,NA
54,135,"MWI","Malawi",7,"Dowa",54,"TA Chiwere","Traditional Authority","Traditional Authority",NA,NA
55,135,"MWI","Malawi",7,"Dowa",55,"TA Dzoole","Traditional Authority","Traditional Authority",NA,NA
56,135,"MWI","Malawi",7,"Dowa",56,"TA Msakambewa","Traditional Authority","Traditional Authority",NA,NA
57,135,"MWI","Malawi",8,"Karonga",57,"Karonga Town","Town","Town",NA,NA
58,135,"MWI","Malawi",8,"Karonga",58,"Lake Malawi","Water body","Water body",NA,NA
59,135,"MWI","Malawi",8,"Karonga",59,"Nyipa N. P. - Karonga","National Park","National Park",NA,NA
60,135,"MWI","Malawi",8,"Karonga",60,"SC Mwakaboko","Sub-chief","Sub-chief",NA,NA
61,135,"MWI","Malawi",8,"Karonga",61,"SC Mwirang'ombe","Sub-chief","Sub-chief",NA,NA
62,135,"MWI","Malawi",8,"Karonga",62,"TA Kilupula","Traditional Authority","Traditional Authority",NA,NA
63,135,"MWI","Malawi",8,"Karonga",63,"TA Kyungu","Traditional Authority","Traditional Authority",NA,NA
64,135,"MWI","Malawi",8,"Karonga",64,"TA Wasambo","Traditional Authority","Traditional Authority",NA,NA
65,135,"MWI","Malawi",9,"Kasungu",65,"Kasungu Boma","Boma","Headquarter",NA,NA
66,135,"MWI","Malawi",9,"Kasungu",66,"Kasungu National Park","National Park","National Park",NA,NA
67,135,"MWI","Malawi",9,"Kasungu",67,"SC Chilowamatambe","Sub-chief","Sub-chief",NA,NA
68,135,"MWI","Malawi",9,"Kasungu",68,"SC Chisikwa","Sub-chief","Sub-chief",NA,NA
69,135,"MWI","Malawi",9,"Kasungu",69,"SC Kawamba","Sub-chief","Sub-chief",NA,NA
70,135,"MWI","Malawi",9,"Kasungu",70,"SC Lukwa","Sub-chief","Sub-chief",NA,NA
71,135,"MWI","Malawi",9,"Kasungu",71,"SC M'nyanja","Sub-chief","Sub-chief",NA,NA
72,135,"MWI","Malawi",9,"Kasungu",72,"SC Njombwa","Sub-chief","Sub-chief",NA,NA
73,135,"MWI","Malawi",9,"Kasungu",73,"SC Simlemba","Sub-chief","Sub-chief",NA,NA
74,135,"MWI","Malawi",9,"Kasungu",74,"TA Chulu","Traditional Authority","Traditional Authority",NA,NA
75,135,"MWI","Malawi",9,"Kasungu",75,"TA Kaluluma","Traditional Authority","Traditional Authority",NA,NA
76,135,"MWI","Malawi",9,"Kasungu",76,"TA Kaomba","Traditional Authority","Traditional Authority",NA,NA
77,135,"MWI","Malawi",9,"Kasungu",77,"TA Kapelula","Traditional Authority","Traditional Authority",NA,NA
78,135,"MWI","Malawi",9,"Kasungu",78,"TA Mwase","Traditional Authority","Traditional Authority",NA,NA
79,135,"MWI","Malawi",9,"Kasungu",79,"TA Santhe","Traditional Authority","Traditional Authority",NA,NA
80,135,"MWI","Malawi",9,"Kasungu",80,"TA Wimbe","Traditional Authority","Traditional Authority",NA,NA
81,135,"MWI","Malawi",10,"Likoma",81,"Lake Malawi","Water body","Water body",NA,NA
82,135,"MWI","Malawi",11,"Lilongwe",82,"Lilongwe City","City","City",NA,NA
83,135,"MWI","Malawi",11,"Lilongwe",83,"SC Chitekwele","Sub-chief","Sub-chief",NA,NA
84,135,"MWI","Malawi",11,"Lilongwe",84,"SC Mtema","Sub-chief","Sub-chief",NA,NA
85,135,"MWI","Malawi",11,"Lilongwe",85,"SC Njewa","Sub-chief","Sub-chief",NA,NA
86,135,"MWI","Malawi",11,"Lilongwe",86,"SC Tsabango","Sub-chief","Sub-chief",NA,NA
87,135,"MWI","Malawi",11,"Lilongwe",87,"TA Chadza","Traditional Authority","Traditional Authority",NA,NA
88,135,"MWI","Malawi",11,"Lilongwe",88,"TA Chimutu","Traditional Authority","Traditional Authority",NA,NA
89,135,"MWI","Malawi",11,"Lilongwe",89,"TA Chiseka","Traditional Authority","Traditional Authority",NA,NA
90,135,"MWI","Malawi",11,"Lilongwe",90,"TA Chitukula","Traditional Authority","Traditional Authority",NA,NA
91,135,"MWI","Malawi",11,"Lilongwe",91,"TA Kabudula","Traditional Authority","Traditional Authority",NA,NA
92,135,"MWI","Malawi",11,"Lilongwe",92,"TA Kalolo","Traditional Authority","Traditional Authority",NA,NA
93,135,"MWI","Malawi",11,"Lilongwe",93,"TA Kalumba","Traditional Authority","Traditional Authority",NA,NA
94,135,"MWI","Malawi",11,"Lilongwe",94,"TA Kalumbu","Traditional Authority","Traditional Authority",NA,NA
95,135,"MWI","Malawi",11,"Lilongwe",95,"TA Khongoni","Traditional Authority","Traditional Authority",NA,NA
96,135,"MWI","Malawi",11,"Lilongwe",96,"TA Malili","Traditional Authority","Traditional Authority",NA,NA
97,135,"MWI","Malawi",11,"Lilongwe",97,"TA Mazengera","Traditional Authority","Traditional Authority",NA,NA
98,135,"MWI","Malawi",12,"Machinga",98,"Lake Chilwa","Water body","Water body",NA,NA
99,135,"MWI","Malawi",12,"Machinga",99,"Lake Chiuta","Water body","Water body",NA,NA
100,135,"MWI","Malawi",12,"Machinga",100,"Liwonda National Park","National Park","National Park",NA,NA
101,135,"MWI","Malawi",12,"Machinga",101,"Liwonde Town","Town","Town",NA,NA
102,135,"MWI","Malawi",12,"Machinga",102,"SC Chamba","Sub-chief","Sub-chief",NA,NA
103,135,"MWI","Malawi",12,"Machinga",103,"SC Chikweo","Sub-chief","Sub-chief",NA,NA
104,135,"MWI","Malawi",12,"Machinga",104,"SC Chiwalo","Sub-chief","Sub-chief",NA,NA
105,135,"MWI","Malawi",12,"Machinga",105,"SC Mlomba","Sub-chief","Sub-chief",NA,NA
106,135,"MWI","Malawi",12,"Machinga",106,"SC Mposa","Sub-chief","Sub-chief",NA,NA
107,135,"MWI","Malawi",12,"Machinga",107,"SC Ngokwe","Sub-chief","Sub-chief",NA,NA
108,135,"MWI","Malawi",12,"Machinga",108,"SC Sitola","Sub-chief","Sub-chief",NA,NA
109,135,"MWI","Malawi",12,"Machinga",109,"TA Kawinga","Traditional Authority","Traditional Authority",NA,NA
110,135,"MWI","Malawi",12,"Machinga",110,"TA Liwonde","Traditional Authority","Traditional Authority",NA,NA
111,135,"MWI","Malawi",12,"Machinga",111,"TA Nyambi","Traditional Authority","Traditional Authority",NA,NA
112,135,"MWI","Malawi",13,"Mangochi",112,"Lake Malawi","Water body","Water body",NA,NA
113,135,"MWI","Malawi",13,"Mangochi",113,"Lake Malombe","Water body","Water body",NA,NA
114,135,"MWI","Malawi",13,"Mangochi",114,"Mangochi Town","Town","Town",NA,NA
115,135,"MWI","Malawi",13,"Mangochi",115,"Monkey Bay Urban","Urban","Urban",NA,NA
116,135,"MWI","Malawi",13,"Mangochi",116,"SC Chowe","Sub-chief","Sub-chief",NA,NA
117,135,"MWI","Malawi",13,"Mangochi",117,"SC Mbwana Nyambi","Sub-chief","Sub-chief",NA,NA
118,135,"MWI","Malawi",13,"Mangochi",118,"SC Namabvi","Sub-chief","Sub-chief",NA,NA
119,135,"MWI","Malawi",13,"Mangochi",119,"TA Chimwala","Traditional Authority","Traditional Authority",NA,NA
120,135,"MWI","Malawi",13,"Mangochi",120,"TA Jalasi","Traditional Authority","Traditional Authority",NA,NA
121,135,"MWI","Malawi",13,"Mangochi",121,"TA Katuli","Traditional Authority","Traditional Authority",NA,NA
122,135,"MWI","Malawi",13,"Mangochi",122,"TA Makanjila","Traditional Authority","Traditional Authority",NA,NA
123,135,"MWI","Malawi",13,"Mangochi",123,"TA Mponda","Traditional Authority","Traditional Authority",NA,NA
124,135,"MWI","Malawi",13,"Mangochi",124,"TA Nankumba","Traditional Authority","Traditional Authority",NA,NA
125,135,"MWI","Malawi",14,"Mchinji",125,"Mchinji Boma","Boma","Headquarter",NA,NA
126,135,"MWI","Malawi",14,"Mchinji",126,"SC Dambe","Sub-chief","Sub-chief",NA,NA
127,135,"MWI","Malawi",14,"Mchinji",127,"SC Mavwere","Sub-chief","Sub-chief",NA,NA
128,135,"MWI","Malawi",14,"Mchinji",128,"SC Mduwa","Sub-chief","Sub-chief",NA,NA
129,135,"MWI","Malawi",14,"Mchinji",129,"TA Mkanda","Traditional Authority","Traditional Authority",NA,NA
