"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
130,135,"MWI","Malawi",14,"Mchinji",130,"TA Mlonyeni","Traditional Authority","Traditional Authority",NA,NA
131,135,"MWI","Malawi",14,"Mchinji",131,"TA Zulu","Traditional Authority","Traditional Authority",NA,NA
132,135,"MWI","Malawi",15,"Mulanje",132,"Mulanje Boma","Boma","Headquarter",NA,NA
133,135,"MWI","Malawi",15,"Mulanje",133,"Mulanje Mountain Forest Reserve","Reserve","Reserve",NA,NA
134,135,"MWI","Malawi",15,"Mulanje",134,"SC Juma","Sub-chief","Sub-chief",NA,NA
135,135,"MWI","Malawi",15,"Mulanje",135,"SC Laston Njema","Sub-chief","Sub-chief",NA,NA
136,135,"MWI","Malawi",15,"Mulanje",136,"TA Chikumbu","Traditional Authority","Traditional Authority",NA,NA
137,135,"MWI","Malawi",15,"Mulanje",137,"TA Mabuka","Traditional Authority","Traditional Authority",NA,NA
138,135,"MWI","Malawi",15,"Mulanje",138,"TA Nkanda","Traditional Authority","Traditional Authority",NA,NA
139,135,"MWI","Malawi",15,"Mulanje",139,"TA Nthiramanja","Traditional Authority","Traditional Authority",NA,NA
140,135,"MWI","Malawi",16,"Mwanza",140,"Majete Game Reserve - Mwanza","Reserve","Reserve",NA,NA
141,135,"MWI","Malawi",16,"Mwanza",141,"Mwanza Boma","Boma","Headquarter",NA,NA
142,135,"MWI","Malawi",16,"Mwanza",142,"TA Kanduku","Traditional Authority","Traditional Authority",NA,NA
143,135,"MWI","Malawi",16,"Mwanza",143,"TA Nthache","Traditional Authority","Traditional Authority",NA,NA
144,135,"MWI","Malawi",17,"Mzimba",144,"Mzimba Boma","Boma","Headquarter",NA,NA
145,135,"MWI","Malawi",17,"Mzimba",145,"Mzuzu City","City","City",NA,NA
146,135,"MWI","Malawi",17,"Mzimba",146,"SC Jaravikuba Munthali","Sub-chief","Sub-chief",NA,NA
147,135,"MWI","Malawi",17,"Mzimba",147,"SC Kampingo Sibande","Sub-chief","Sub-chief",NA,NA
148,135,"MWI","Malawi",17,"Mzimba",148,"SC Khosolo Gwaza Jere","Sub-chief","Sub-chief",NA,NA
149,135,"MWI","Malawi",17,"Mzimba",149,"TA Chindi","Traditional Authority","Traditional Authority",NA,NA
150,135,"MWI","Malawi",17,"Mzimba",150,"TA M'Mbelwa","Traditional Authority","Traditional Authority",NA,NA
151,135,"MWI","Malawi",17,"Mzimba",151,"TA Mabulabo","Traditional Authority","Traditional Authority",NA,NA
152,135,"MWI","Malawi",17,"Mzimba",152,"TA Mpherembe","Traditional Authority","Traditional Authority",NA,NA
153,135,"MWI","Malawi",17,"Mzimba",153,"TA Mtwalo","Traditional Authority","Traditional Authority",NA,NA
154,135,"MWI","Malawi",17,"Mzimba",154,"TA Mzikubola","Traditional Authority","Traditional Authority",NA,NA
155,135,"MWI","Malawi",17,"Mzimba",155,"TA Mzukuzuku","Traditional Authority","Traditional Authority",NA,NA
156,135,"MWI","Malawi",17,"Mzimba",156,"Vwaza Marsh Game Reserve - Mzimba","Reserve","Reserve",NA,NA
157,135,"MWI","Malawi",18,"Neno",157,"Majete Game Reserve - Neno","Reserve","Reserve",NA,NA
158,135,"MWI","Malawi",18,"Neno",158,"TA Dambe","Traditional Authority","Traditional Authority",NA,NA
159,135,"MWI","Malawi",18,"Neno",159,"TA Mlauli","Traditional Authority","Traditional Authority",NA,NA
160,135,"MWI","Malawi",18,"Neno",160,"TA Ngozi","Traditional Authority","Traditional Authority",NA,NA
161,135,"MWI","Malawi",18,"Neno",161,"TA Symon","Traditional Authority","Traditional Authority",NA,NA
162,135,"MWI","Malawi",19,"Nkhata Bay",162,"Lake Malawi","Water body","Water body",NA,NA
163,135,"MWI","Malawi",19,"Nkhata Bay",163,"SC Fukamalaza","Sub-chief","Sub-chief",NA,NA
164,135,"MWI","Malawi",19,"Nkhata Bay",164,"SC Malanda","Sub-chief","Sub-chief",NA,NA
165,135,"MWI","Malawi",19,"Nkhata Bay",165,"SC Nyaluwanga","Sub-chief","Sub-chief",NA,NA
166,135,"MWI","Malawi",19,"Nkhata Bay",166,"SC Zilakoma","Sub-chief","Sub-chief",NA,NA
167,135,"MWI","Malawi",19,"Nkhata Bay",167,"TA Fukamapiri","Traditional Authority","Traditional Authority",NA,NA
168,135,"MWI","Malawi",19,"Nkhata Bay",168,"TA Kabunduli","Traditional Authority","Traditional Authority",NA,NA
169,135,"MWI","Malawi",19,"Nkhata Bay",169,"TA Malenga Mzoma","Traditional Authority","Traditional Authority",NA,NA
170,135,"MWI","Malawi",19,"Nkhata Bay",170,"TA Musisya","Traditional Authority","Traditional Authority",NA,NA
171,135,"MWI","Malawi",19,"Nkhata Bay",171,"TA Timbiri","Traditional Authority","Traditional Authority",NA,NA
172,135,"MWI","Malawi",20,"Nkhotakota",172,"Lake Malawi","Water body","Water body",NA,NA
173,135,"MWI","Malawi",20,"Nkhotakota",173,"Nkhotakota Boma","Boma","Headquarter",NA,NA
174,135,"MWI","Malawi",20,"Nkhotakota",174,"Nkhotakota Game Reserve","Reserve","Reserve",NA,NA
175,135,"MWI","Malawi",20,"Nkhotakota",175,"SC Kafuzila","Sub-chief","Sub-chief",NA,NA
176,135,"MWI","Malawi",20,"Nkhotakota",176,"SC Mphonde","Sub-chief","Sub-chief",NA,NA
177,135,"MWI","Malawi",20,"Nkhotakota",177,"SC Mwansambo","Sub-chief","Sub-chief",NA,NA
178,135,"MWI","Malawi",20,"Nkhotakota",178,"TA Kanyenda","Traditional Authority","Traditional Authority",NA,NA
179,135,"MWI","Malawi",20,"Nkhotakota",179,"TA Malenga Chanzi","Traditional Authority","Traditional Authority",NA,NA
180,135,"MWI","Malawi",20,"Nkhotakota",180,"TA Mwadzama","Traditional Authority","Traditional Authority",NA,NA
181,135,"MWI","Malawi",21,"Nsanje",181,"Mwabvi Game Reserve","Reserve","Reserve",NA,NA
182,135,"MWI","Malawi",21,"Nsanje",182,"Nsanje Boma","Boma","Headquarter",NA,NA
183,135,"MWI","Malawi",21,"Nsanje",183,"SC Makoka","Sub-chief","Sub-chief",NA,NA
184,135,"MWI","Malawi",21,"Nsanje",184,"SC Mbenje","Sub-chief","Sub-chief",NA,NA
185,135,"MWI","Malawi",21,"Nsanje",185,"TA Chimombo","Traditional Authority","Traditional Authority",NA,NA
186,135,"MWI","Malawi",21,"Nsanje",186,"TA Malemia","Traditional Authority","Traditional Authority",NA,NA
187,135,"MWI","Malawi",21,"Nsanje",187,"TA Mlolo","Traditional Authority","Traditional Authority",NA,NA
188,135,"MWI","Malawi",21,"Nsanje",188,"TA Ndamera","Traditional Authority","Traditional Authority",NA,NA
189,135,"MWI","Malawi",21,"Nsanje",189,"TA Ngabu","Traditional Authority","Traditional Authority",NA,NA
190,135,"MWI","Malawi",21,"Nsanje",190,"TA Nyachikadza","Traditional Authority","Traditional Authority",NA,NA
191,135,"MWI","Malawi",21,"Nsanje",191,"TA Tengani","Traditional Authority","Traditional Authority",NA,NA
192,135,"MWI","Malawi",22,"Ntcheu",192,"Ntcheu Boma","Boma","Headquarter",NA,NA
193,135,"MWI","Malawi",22,"Ntcheu",193,"SC Champiti","Sub-chief","Sub-chief",NA,NA
194,135,"MWI","Malawi",22,"Ntcheu",194,"SC Goodson Ganya","Sub-chief","Sub-chief",NA,NA
195,135,"MWI","Malawi",22,"Ntcheu",195,"SC Makwangwala","Sub-chief","Sub-chief",NA,NA
196,135,"MWI","Malawi",22,"Ntcheu",196,"TA Chakhumbira","Traditional Authority","Traditional Authority",NA,NA
197,135,"MWI","Malawi",22,"Ntcheu",197,"TA Kwataine","Traditional Authority","Traditional Authority",NA,NA
198,135,"MWI","Malawi",22,"Ntcheu",198,"TA Masasa","Traditional Authority","Traditional Authority",NA,NA
199,135,"MWI","Malawi",22,"Ntcheu",199,"TA Mpando","Traditional Authority","Traditional Authority",NA,NA
200,135,"MWI","Malawi",22,"Ntcheu",200,"TA Njolomole","Traditional Authority","Traditional Authority",NA,NA
201,135,"MWI","Malawi",22,"Ntcheu",201,"TA Phambala","Traditional Authority","Traditional Authority",NA,NA
202,135,"MWI","Malawi",23,"Ntchisi",202,"Ntchisi Boma","Boma","Headquarter",NA,NA
203,135,"MWI","Malawi",23,"Ntchisi",203,"SC Chilooko","Sub-chief","Sub-chief",NA,NA
204,135,"MWI","Malawi",23,"Ntchisi",204,"SC Nthondo","Sub-chief","Sub-chief",NA,NA
205,135,"MWI","Malawi",23,"Ntchisi",205,"TA Chikho","Traditional Authority","Traditional Authority",NA,NA
206,135,"MWI","Malawi",23,"Ntchisi",206,"TA Kalumo","Traditional Authority","Traditional Authority",NA,NA
207,135,"MWI","Malawi",23,"Ntchisi",207,"TA Kasakula","Traditional Authority","Traditional Authority",NA,NA
208,135,"MWI","Malawi",23,"Ntchisi",208,"TA Kasukula","Traditional Authority","Traditional Authority",NA,NA
209,135,"MWI","Malawi",24,"Phalombe",209,"Lake Chilwa","Water body","Water body",NA,NA
210,135,"MWI","Malawi",24,"Phalombe",210,"TA Mkhumba","Traditional Authority","Traditional Authority",NA,NA
211,135,"MWI","Malawi",24,"Phalombe",211,"TA Nazombe","Traditional Authority","Traditional Authority",NA,NA
212,135,"MWI","Malawi",25,"Rumphi",212,"Lake Malawi","Water body","Water body",NA,NA
213,135,"MWI","Malawi",25,"Rumphi",213,"Nyika National Park - Rumphi","National Park","National Park",NA,NA
214,135,"MWI","Malawi",25,"Rumphi",214,"Rumphi Boma","Boma","Headquarter",NA,NA
215,135,"MWI","Malawi",25,"Rumphi",215,"SC Chapinduka","Sub-chief","Sub-chief",NA,NA
216,135,"MWI","Malawi",25,"Rumphi",216,"SC Kachulu","Sub-chief","Sub-chief",NA,NA
217,135,"MWI","Malawi",25,"Rumphi",217,"SC Mwahenga","Sub-chief","Sub-chief",NA,NA
218,135,"MWI","Malawi",25,"Rumphi",218,"SC Mwalweni","Sub-chief","Sub-chief",NA,NA
219,135,"MWI","Malawi",25,"Rumphi",219,"SC Mwankhunikira","Sub-chief","Sub-chief",NA,NA
220,135,"MWI","Malawi",25,"Rumphi",220,"TA Chikulamayembe","Traditional Authority","Traditional Authority",NA,NA
221,135,"MWI","Malawi",25,"Rumphi",221,"TA Katumbi","Traditional Authority","Traditional Authority",NA,NA
222,135,"MWI","Malawi",25,"Rumphi",222,"TA Mwamlowe","Traditional Authority","Traditional Authority",NA,NA
223,135,"MWI","Malawi",25,"Rumphi",223,"Vwaza Marsh Game Reserve - Rumphi","Reserve","Reserve",NA,NA
224,135,"MWI","Malawi",26,"Salima",224,"Lake Malawi","Water body","Water body",NA,NA
225,135,"MWI","Malawi",26,"Salima",225,"Salima Town","Town","Town",NA,NA
226,135,"MWI","Malawi",26,"Salima",226,"SC Kambalame","Sub-chief","Sub-chief",NA,NA
227,135,"MWI","Malawi",26,"Salima",227,"SC Kambwiri","Sub-chief","Sub-chief",NA,NA
228,135,"MWI","Malawi",26,"Salima",228,"SC Mwanza","Sub-chief","Sub-chief",NA,NA
229,135,"MWI","Malawi",26,"Salima",229,"TA Karonga","Traditional Authority","Traditional Authority",NA,NA
230,135,"MWI","Malawi",26,"Salima",230,"TA Khombedza","Traditional Authority","Traditional Authority",NA,NA
231,135,"MWI","Malawi",26,"Salima",231,"TA Kuluunda","Traditional Authority","Traditional Authority",NA,NA
232,135,"MWI","Malawi",26,"Salima",232,"TA Maganga","Traditional Authority","Traditional Authority",NA,NA
233,135,"MWI","Malawi",26,"Salima",233,"TA Ndindi","Traditional Authority","Traditional Authority",NA,NA
234,135,"MWI","Malawi",26,"Salima",234,"TA Pemba","Traditional Authority","Traditional Authority",NA,NA
235,135,"MWI","Malawi",27,"Thyolo",235,"Luchenza Town","Town","Town",NA,NA
236,135,"MWI","Malawi",27,"Thyolo",236,"SC Kwethemule","Sub-chief","Sub-chief",NA,NA
237,135,"MWI","Malawi",27,"Thyolo",237,"SC Mbawela","Sub-chief","Sub-chief",NA,NA
238,135,"MWI","Malawi",27,"Thyolo",238,"SC Mphuka","Sub-chief","Sub-chief",NA,NA
239,135,"MWI","Malawi",27,"Thyolo",239,"SC Thukuta","Sub-chief","Sub-chief",NA,NA
240,135,"MWI","Malawi",27,"Thyolo",240,"TA Bvumbwe","Traditional Authority","Traditional Authority",NA,NA
241,135,"MWI","Malawi",27,"Thyolo",241,"TA Changata","Traditional Authority","Traditional Authority",NA,NA
242,135,"MWI","Malawi",27,"Thyolo",242,"TA Chimaliro","Traditional Authority","Traditional Authority",NA,NA
243,135,"MWI","Malawi",27,"Thyolo",243,"TA Kapichi","Traditional Authority","Traditional Authority",NA,NA
244,135,"MWI","Malawi",27,"Thyolo",244,"TA Nchilamwela","Traditional Authority","Traditional Authority",NA,NA
245,135,"MWI","Malawi",27,"Thyolo",245,"TA Nsabwe","Traditional Authority","Traditional Authority",NA,NA
246,135,"MWI","Malawi",27,"Thyolo",246,"TA Thomas","Traditional Authority","Traditional Authority",NA,NA
247,135,"MWI","Malawi",27,"Thyolo",247,"Thyolo Boma","Boma","Headquarter",NA,NA
248,135,"MWI","Malawi",28,"Zomba",248,"Lake Chilwa","Water body","Water body",NA,NA
249,135,"MWI","Malawi",28,"Zomba",249,"SC Mbiza","Sub-chief","Sub-chief",NA,NA
250,135,"MWI","Malawi",28,"Zomba",250,"SC Mkumbira","Sub-chief","Sub-chief",NA,NA
251,135,"MWI","Malawi",28,"Zomba",251,"TA Chikowi","Traditional Authority","Traditional Authority",NA,NA
252,135,"MWI","Malawi",28,"Zomba",252,"TA Kuntumanji","Traditional Authority","Traditional Authority",NA,NA
253,135,"MWI","Malawi",28,"Zomba",253,"TA Malemia","Traditional Authority","Traditional Authority",NA,NA
254,135,"MWI","Malawi",28,"Zomba",254,"TA Mlumbe","Traditional Authority","Traditional Authority",NA,NA
255,135,"MWI","Malawi",28,"Zomba",255,"TA Mwambo","Traditional Authority","Traditional Authority",NA,NA
256,135,"MWI","Malawi",28,"Zomba",256,"Zomba City","City","City",NA,NA
